SÕNA,DEFINITSIOON,TASE
kroonima,kedagi pidulikult krooni pähe asetamisega valitsejaks või võitjaks kuulutama,B2
krõbe,"kuiva, krõbisedes mureneva pealispinna või koostisega, hrl selliseks küpsetatud või kuivatatud",B2
kuduma,"lõngast riiet , silmkoe-esemeid või võrku valmistama",B1
kuhu,"küsiv,siduv sõna: missugusesse kohta, missugusesse suunda",A1
kui,"esineb adjektiivide, partitsiipide, adverbide ja indefiniitsete pronoomenite mitu ja palju ees, väljendades määra, astet, ulatust",A1
kuidagi,tugev tundetooni rõhutamine,B2
kuigivõrd,"mingil määral, mõnel määral",B2
kuiv,väga vähese veega või muu vedelikuga,A2
kuju,harilikult isikust,B1
kujunema,"kellekski või millekski arenema või muutuma, mingit kuju või vormi omandama",B1
kujutama,"konkreetsel, nähtaval kujul esitama, nähtavat pilti, kuju looma",B1
kukal,inimese või looma pea tagaosa,B1
kukkuma,"raskusjõu tõttu allapoole liikuma , normaalasendit kaotama",A2
kukutama,kukkuda laskma,B2
kuld,väärismetallist raha või muu ese,B1
kuldne,kullavärvi,A2
kuldnokk,asulais ja metsas pesakastides ning puuõõntes pesitsev metalliläikelise musta sulestiku ja kollase nokaga lind,B2
kull,rahvapärane üldnimetus,B2
kulminatsioon,taevakeha läbiminek vaatleja asukoha taevameridiaanist,B2
kulp,"kausja kaha ja harilikult täisnurgi kinnitatud varrega riist vedelate toitude segamiseks ja ammutamiseks, ka muuks otstarbeks",B1
kultuur,inimühiskonna loova mõtte ja sellest tuleneva tegevuse tulemuste kogum,A1
kuluma,"rahaliselt tarvis minema, ära kasutatud saama",B1
kulutama,"pideva hõõrumise, nühkimise või muu tegevuse tõttu väiksemaks, viletsamaks või muu muutma, kuluda laskma",B1
kuma,kauge või varjatud valgusallika nõrk tuhmilt helendav paiste,C1
kumama,"ebamääraselt, ebaselgelt, ähmaselt paistma",C1
kumm,"vahend pliiatsi- või muu kirja kustutamiseks, kustutuskumm",B1
kummardus,"ühekordne kummardamine, pea ja ülakeha kerge ettepoole painutus",B2
kummitama,"alatasa, järelejätmatult peale tükkima või",B2
kummutama,"põhja ülespidi keerama või nõu tugevasti kallutama, eriti sel teel",C1
kuna,"küsimustes, aga ka hüüatustes",B1
kunagi,mingil ajal tulevikus,A2
kunst,"loov inimtegevus, milles aistitaval kujul ning esteetiliselt mõjusana vahendatakse teistele oma maailmatunnetust",A2
kurbus,"haledus-, kahju- või norutundega seotud emotsioon",B1
kurg,"suur, pika noka ja kaela ning kõrgete jalgadega lind",B1
kurikuulus,"millegi halva poolest üldtuntuks saanud, halva kuulsusega",B2
kuristik,"püstjate veerudega kitsas sügav org, mille harilikult jõgi on kulutanud kõvadesse kivimitesse",B2
kuritegevus,mingil ajavahemikul toimepandud kuritegude kogu,B1
kurjus,"nõrgestab või hävitab, see, mis on kõlbeliselt hukkamõistetav",B2
kurnama,läbi kurna või muu kurnamisvahendi laskma,C1
kurnatus,"kurnatud olek, äärmine väsimus, jõuetus",C1
kursus,"mingi õppeaine või selle tervikliku osa süstemaatiline, programmiga määratud materjalihulk",A2
kurv,upp- või tiririppe läbimine õlaliigese pöördega,B1
kus,"ka alustab sihitis-, koha-, täiend- või muu kõrvallauset",A1
kusagilt,"mingist kohast või suunast, täpselt teadmata kust",B1
kusjuures,"alustab kõrvallauset, seostades seda viitamisi kogu pealausega",B2
kust,"missugusest kohast, missugusest allikast või missugusel põhjusel",A1
kustutama,"põlemisele, hõõgumisele, helendamisele, valgustamisele lõppu tegema, kustuma sundima",B1
kutse,"mingil moel väljendamine, et keegi peab kuhugi midagi tegema minema",B1
kutsetunnistus,"kellegi kutset, kvalifikatsiooni tõendav ning teatud kutsealal töötamiseks õigusi andev dokument",B2
kuulama,kuulmise teel midagi jälgima,A1
kuulitõuge,"kergejõustikuala, kus võisteldakse käes hoitava kuuli võimalikult kaugele tõukamises",B2
kuulma,"hääli, helisid kuulmiselundi abil tajuma ja eristama, kuulmise teel vastu võtma",A1
kuulsus,"silmapaistvate teenete, saavutuste, omaduste eest osaks saav üldine kõrge tunnustus",B1
kuuluma,"kellegi oma, päralt, valduses olema",A2
kuulutama,"kedagi või midagi avalikult kellekski või millekski, teatud seisundis olevaks",A2
kuulutus,avalikult välja pandud või ajakirjanduses avaldatud kirjalik info millegi kohta,A2
kuum,"kõrge temperatuuriga, väga soe",A2
kuumenema,kuumaks muutuma,B2
kuup,kolmas aste,B2
kuurort,tervistavate looduslike teguritega,B2
kvalifitseeruma,kvalifikatsioonivõistlustelt edasi pääsema,B2
kvartal,"metsaosa, mida piiravad täisnurkselt ristuvad sihid",B1
kvartett,neljast lauljast või mängijast koosnev ansambel,B2
kõhe,kergelt hirmu peale ajav,C1
kõhuli,"pikali, lamaskil, nii et kõhupool satub allapoole või on allpool",B1
kõhuvalu,valu kõhupiirkonnas,A2
kõigepealt,kõige esimese tegevuse või asjana,A2
kõigest,modaalhinnangut edastav,B2
kõigutama,"ebakindlaks muutma, kõikuma, vankuma panema",B2
kõikjal,paljudes kohtades,B1
kõikuma,ebakindel olema,B2
kõla,heli või helide kogum,B2
kõlama,"teatud kõla, tooni omama, mingisugusena tunduma",B1
kõlblik,"millekski, nt söögiks",B2
kõrb,"väga kuiv, väheste sademete ning hõreda taimkattega või hoopis taimkatteta ala troopika-, lähistroopika- või parasvöötmes",B1
kõrbema,leegita põlemisel või kuumuse mõjul,B2
kõrge,"ümbrusest või alustasandist tugevasti ülespoole ulatuv, alt üles, püstsuunas pikk",A2
kõrgel,ümbrusest või mingist alustasandist tublisti ülalpool,B1
kõrgelt,tegelikule vastavalt tasemelt või määralt tublisti rohkem,B1
kõrgendama,püstsuunas millegi ulatust suurendama,B2
kõrgetasemeline,"väga hea kvaliteediga, teostuselt, oskuselt väga hea",B2
kõrgharidus,keskharidusele tuginev erihariduse kõrgeim aste,B1
kõrguma,"ümbrusest kõrgemale, kõrgusse ulatuma",B2
kõrgune,teatava kõrgusega,B1
kõrgushüpe,"kergejõustikuala, kus püütakse üle hüpata võimalikult kõrgele asetatud latist",B2
kõri,"kopsudega hingavate selgroogsete hingamistee algusosa kuni hingetoruni, inimesel ja teised imetajatel ühtlasi hääletekkeelund",B2
kõrs,umbsete sõlmedega seest õõnes taimevars,B2
kõrv,inimeste ja teised imetajate kuulmis- ning tasakaaluelund,A1
kõrval,külje suunas päris juures või väga lähedal,A1
kõrvaltoime,põhitoimele kaasuv teistsugune toime,B2
kõrvetama,põlemise või kuumutamisega pinda pruuniks või mustaks muutma või söestuda laskma,B2
kõva,"koostiselt tihe, survele vastupidav",B1
kõvasti,võimsat heli tekitavana,B1
kõõluma,"millegi najale nõjatudes või millestki kinni hoides end kõlgutama, kiigutama, edasi-tagasi liigutama, kallutama, rippuma või muu sellise",C1
käelaba,inimese või ahvi ülajäse randmest sõrmeotsteni,B1
käepide,"eseme osa, millest selle kasutamisel käega kinni võetakse või hoitakse",B1
käik,otsus midagi teha,B1
käima,kuhugi minema ja sealt tagasi tulema,A1
käitumine,"kedagi teatud viisil kohtlemine, kellegagi mingil viisil suhtlemine, ümber käimine",B1
käivitama,"masinat, mootorit, seadet käima, tööle või liikuma panema",B2
kämping,turistide ja matkajate peatuspaik telkide või kergete puitehitistega,B1
käpik,eraldi sõrmedeta kotjas kinnas,B2
käsi,"koos laiendiga iseloomustab tegutsemise, toimimise, suhtumise laadi",A1
käsitama,midagi teatud viisil tõlgendama,B2
käsitlema,"töötlema, keemiliselt mõjutama",B2
käsitlus,"rakendus, kasutamine",B2
käsitsi,käte jõul või käte abil,B1
käsitöö,töönduslik väiketootmine lihtsate tööriistadega käsitsi,B1
käsitööline,mingi käsitööga kutseliselt tegelev isik,B2
käskima,"kellegi tegevust või muu taotlema, seda väljendama",B1
käskkiri,"ettevõtte, asutuse või organisatsiooni juhataja ametlik kirjalik käsk, korraldus või teadaanne alluvaile millegi kohta",B2
kätte,"käsutusse, kasutusse, omandusse, valdusse, osaks vms",B1
köha,hingamisteede limaskestade tundenärvide ärritusest tingitud järsk häälekas reflektoorne väljahingamine,B1
köide,"kaaned, selg ja muu selline, mis annab raamatule või muu sellise vajaliku tugevuse ja välise vormi",B2
köis,"jämedam tugevast tekstiilkiudainest kinnitamis- ja sidumis-, ka jõu ja liikumise ülekandmisvahend",B2
köitma,"millegi külge, kuhugi või millekski kokku",B2
köögivili,"rohttaim, mille mingeid osi kasutatakse söögiks kas värskelt või töödeldult",A2
kübar,harilikult vormitud põhjaga ja laiema servaga peakate,B1
kühvel,külgedelt kõrgemate äärtega,B1
kükitama,kükakile laskuma,B2
küla,väikseim maa-asula,A2
külaskäik,kellelgi külas käimine,B1
külastama,kusagil,A2
külastatavus,millegi külastamise sagedust näitav suurus,B2
külg,eseme või maastikuobjekti üks,B1
külge,"haardega, hoidega millessegi, kellessegi kinni",B1
küljes,millelegi kinnitatuna,B1
küljest,"millestki lahti, ära, kusagilt lahku",B1
küll,"mingit väidet eriliselt toonitades, kinnitades",A1
küllalt,pigem rohkem kui vähem,B1
küllap,"väljendab kinnitust, veendumust",B2
küllastuma,"millegi poolest küllaseks, rikkalikuks muutuma",C1
külm,"madala temperatuuriga, vähese soojusega või hoopis soojuseta",A1
külmetama,külma tundma,B1
külmuma,külma tõttu elutuks muutuma,B2
külmutama,"külmuma panema, külmuma sundima",B2
külmutatud,toidu kohta säilivuse eesmärgil,B1
külvama,midagi korrapäratult laiali jagama,B2
kümmekond,"arvult umbes kümme, kümne ringis",B1
kündma,pinnasekihti harimise eesmärgil adraga ümber pöörama,C1
küps,"millekski, millegi tegemiseks täiesti valmis",B2
küpsema,"välja kujunema, välja arenema, valmima",B1
küpsetama,toorest toiduainet kuumuses toiduks valmistama,B1
küpsis,harilikult väiksem ning kõvem küpsetatud kondiitritoode,A2
küsima,"kelleltki midagi tahtma, soovima või taotlema",A1
küsimus,"lahendust, selgitust vajav asi või asjaolu",A1
küsitav,"see, kelle käest midagi küsitakse",B2
kütma,"ahju või muu küttekoldesse tuld tegema ja seal hoidma, nii et küttekolle soojust levitab",A2
küünal,kergesti sulavast põletusainest ning tahtsüdamikust valgusallikas,B1
küünarnukk,küünarluu ülemise otsa piirkond,B1
küüniline,"kõige üle irvitav, kõike madaldav",C1
küüs,inimese sõrme või varba lõpplüli selgmist osa kattev plaatjas sarvmoodustis,B1
laad,"olemust määravad omadused või eripära, iseloom",B1
laadima,"laenguga või vajaliku energiaga, kütusega, mingi eriseadmega või muu sellise varustama",B1
ladu,"koht , kuhu saab panna hoiule materiaalseid väärtusi",B1
laduma,harilikult korrapäraselt,B2
ladustama,"lattu, hoidlasse vm selleks ettenähtud paika panema või andma",B2
laekuma,sissetulekuna kogunema,B2
laenama,kelleltki midagi laenuks võtma või saama,B1
laeng,"sihipäraselt paigaldatud, kuhugi laetud plahvatama pandav lõhkeainekogus",B2
laenutama,harilikult korduvalt või pidevalt laenuks andma,B1
laev,"sõiduk, mis on mõeldud liiklemiseks vees, õhus või kosmoses",A1
lahing,vaenulike sõjajõudude kokkupõrge,B1
lahjendama,lahjemaks tegema,B2
lahkelt,"sõbralikul, südamlikul, heasoovlikul ning abivalmis moel",B2
lahkuma,mingist paigast eemalduma,B1
lahkuminek,"abielu lahutamine, püsisuhte lõpetamine",B2
lahmima,korduvalt,C1
laht,"maismaasse lõikuv ookeani, mere või järve osa",B2
lahti,"kinnitatud, köidetud, et ei ole haardes, kütkes, et liikumine pole takistatud",A1
lahus,kahe või enama aine segunemisel tekkiv muudetava koostisega homogeenne tasakaaluline süsteem,B2
lahustama,"lahustuma panema, lahustuda laskma, lahuseks muutma",B2
lahustuma,"lahustuma panema, lahustuda laskma, lahuseks muutma",B2
lahutama,liitmise pöördtehet sooritama: üht liidetavat teise antud liidetava ja summa järgi leidma,A2
lai,ristsuunas suure ulatusega,A1
laialdaselt,rohke levikuga,B2
laiali,"üks ühes, teine teises suunas või kohas, üks ühte, teine teise suunda või kohta",B1
laialt,palju vara omavana,B1
laiendama,matemaatikas murru lugejat ja nimetajat ühe ja sama arvuga korrutama,B1
laik,ümbrusest värvitooni või muu poolest erinev väike pinnaosa,B2
laine,ruumis leviv energiat edasi kandev võnkumine,B1
laiskus,"töö või muu pingutuse vältimine, tegevusetut olelust armastav",B2
laiune,teatava laiusega,B1
laius,maakera punkti kaugus ekvaatorist nurgaühikutes väljendatuna,B1
lajatama,korraks lühidalt valjusti kõlama või vastu kajama,C1
lamama,"maoli, kõhuli olema",B1
lamp,"põletusainel või elektrienergial töötav seade, mis annab valgust või muu kiirgus",A1
langema,"sõjas, võitluses, lahingus surma saama",A2
laotama,laiali puistama,C1
lapp,imiku keha ümber mähitav rätikukujuline linake,B2
laps,"kellegi järglane, poeg või tütar oma vanemate suhtes",A1
lapselaps,poja- või tütrelaps,A1
lapsevanem,lapse ema või isa,A2
las,kinnitav ja rõhutav väljend,B1
laskma,"kuskilt või kuhugi voolata võimaldama, voolama panema",B1
laskuma,mingisse tegevusse või olekusse lülituma või süvenema,B2
lasteaed,"hoone, kus asub lastekasvatusasutus",A2
lastetu,"selline, kel pole lapsi, ilma lasteta",B2
laud,rõhtsast plaadist ja ühest või mitmest jalast või muu tugitarindist koosnev mööbliese,A1
laudlina,laua katteks ning kaunistuseks kasutatav riie,B2
laug,silmamuna eestpoolt liikuvalt kattev nahakurd,B2
laul,"lühike ning sõnadega muusikateos, mida lauldakse",A1
laulma,hääleelundite abil teatud rütmi ja kõrgusega helide jada kuuldavale tooma,A1
laureaat,"ametlikult auhinnatud kirjanik, kunstnik, teadlane või ühiskonnategelane",B2
lausa,otseses mõttes,B1
lause,"ühest või mitmest üksteisele järgnevast sõnast koosnev lühim kõnelõik, mis ei ole otseses grammatilises seoses eelnevate või järgnevate kõnelõikudega",A2
lauvärv,kosmeetiline värv silmalaugude värvimiseks,B2
lava,kõrgendatud alus saunas leilivõtmiseks ja vihtlemiseks,A2
lavastaja,stsenaariumi filmiteostuse looja,B2
lavastama,soovitud tulemuse saavutamiseks midagi oma plaani või sepitsuse järgi korraldama või kulgema panema,B1
laviin,mäenõlvalt alla sööstev lume,B2
leevendama,"omadust, mõju või muljet pehmendama, meeldivamaks või vastuvõetavamaks muutma",B2
lehekülg,"käsikirja, raamatu, vihiku või muu sellise lehe üks külg",A2
lehm,emane veis,A2
leht,"kõrgemate taimede tüvendi harilikult lame roheline, klorofülli sisaldav organ, kus toimub fotosüntees ja vee aurumine",A1
lehvitama,"kätt, rätikut vms liigutama",B2
leib,harilikult juuretise abil hapendatud ning kergitatud taignast küpsetatud toit,A1
leid,rangide külge kinnitatav külg- ja põikrihmadest ning seljarihmast koosnev hobuserakmete osa,B2
leidma,"mitme hulgast, paljudest võimalustest õiget, sobivat välja valima",A1
leige,ainult pisut soe,B2
leinama,"leina, kaotusvalu tundma, leinas mälestama",B2
leiutama,"millegi kallal, mingit lahendust otsides pingsalt mõtlema",B1
lekkima,valguse või ainete sisenemine või väljumine läbi anuma,B2
leksikon,tähestikuliselt järjestatud materjaliga teatmeteos,B2
lend,lendamise üksikjuhtum,B1
lendama,õhusõidukil sõitma,A1
lennutama,"lendama või lendlema panema, lennata või lennelda laskma",B2
leotama,liguneda laskma,B2
lepinguline,"lepingust tulenev, lepingu alusel toimuv, lepingus kindlaks määratud",B2
lepitama,leppima panema või seda teha püüdma,B2
leppima,"viha pidamast, tülitsemast, vaenujalal või pahuksis olemast lakkama",A2
lett,ametnikke ja kliente eraldav barjäär ning selle pealne laud ametiasutustes,B1
levik,laiali kandumine,B2
levima,"laiale alale või kaugemale siirduma, laiali või edasi kanduma",B1
libe,ning seetõttu väikese hõõrdetakistusega,B1
lift,"paikne tõstuk inimeste või esemete edasitoimetamiseks ehitise eri kõrguses olevate peatuskohtade, harilikult majakorruste vahel",A2
ligemal,väljendab lähtekohta või millegi juures olemist,B2
ligemale,väljendab määra või hulga vajaka jäämist,B2
ligi,kellelegi pealetükkivalt lähenema,B1
liginema,lähemale liikuma,B2
liha,"toiduks tapetud looma, linnu või muu elusorganismi lihaskude",A1
lihas,liigutusi sooritav elund selgroogseil ja enamikul selgrootuil,B1
lihtne,"selline, milles pole midagi eripärast",A1
lihtsalt,"arusaadaval, lihtsal viisil",A1
lihvima,lihvi või ettevalmistust andma,B2
liialdama,"midagi ülepakutult, paisutatult esitama või kujutlema",B2
liialt,liiga palju või liiga vähe,B2
liige,mingi jada või muu iseseisvatest osadest koosneva terviku osis,A2
liigutama,"liikuma panema, kellegi või millegi liikumist esile kutsuma",B1
liigutav,tundeid esile kutsuv,C1
liik,"pärilikult ühetaoliste organismide looduslik, geneetiliselt eristunud rühm, elusa looduse süstemaatika üksusi",B1
liiklema,üldkasutataval teel sihipäraselt liikuma,B2
liiklus,"jalakäijate, sõidukite v transpordivahendite sihipärane liikumine neile selleks ettenähtud kohas",B1
liikuma,"asendit muutma, teise asendisse minema",A1
liikvel,"levimas, ringlemas, ringluses",B2
liin,"sellel paiknev esemete, rajatiste või inimeste rida",A2
liitlane,"kellegi pooldaja, toetaja",B2
liitma,konkreetselt või abstraktselt,A2
limonaad,mahla- või sünteetilist siirupit sisaldav gaseeritud karastusjook,B1
limpsima,"tasapisi, vähehaaval jooma",B2
lina,mõnede algselt linasest materjalist esemete kohta,B1
lind,tiibade ja sulgkattega kahejalgne selgroogne loom,A1
link,ust või väravat sulgev,B1
lint,"teatud otstarbeks mõeldud riideriba,",B2
lipp,"tugevaim malend, millel on nii vankri kui oda käiguvõimalused",A2
lipsama,"kergelt ja väledalt kuhugi, kusagilt läbi või välja minema",C1
lisa,"trükiste, dokumendi ja muu täiendav osa või materjal",A2
lisama,"lisaks, täiendavalt midagi ütlema või kirjas väljendama",A2
litsents,valitsusasutuse luba kauba sisse- või väljaveoks,B2
litter,metall leheke tavaliselt rõivaste ilustamiseks,B2
lohk,looduslik või tehissüvend,B2
lohutama,"hingevalu, muret või leina leevendama või leevendada püüdma",B1
loksuma,korduval edasi-tagasi liikumisel kuuldavalt paiskuma,B2
lollitama,"narrima, lolliks tegema",B2
lonkshaaval,"lonksudena, lonksude kaupa",B2
