SÕNA,DEFINITSIOON,TASE
eitus,kõneakti eitamine,B2
ekraan,"kiirgust hajutav, peegeldav, neelav või muundav seade nähtava kujutise saamiseks",A2
eks,"nõrk kinnitus- või rõhusõna lausetes, mis väljendavad nõustumist, kinnitamist, selgitust, oletust, soovi, pahameelt, üllatust",A2
eksam,võimete või teadmiste ning oskuste kontroll,A2
eksemplar,üks omast liigist,B2
eksima,"õigelt teelt või liikumissuunalt kogemata kõrvale kalduma, teed kaotama",B1
eksistentsiaalne,olemasolusse puutuv,C1
eksklusiivne,"nii kirjeldatakse miskit, millele lihtsalt ligi ei pääse",B2
ekskursioon,käik või -reis uute muljete ning teadmiste saamiseks,A2
ekslema,"siia-sinna liikuma, hulkuma",B2
ekspeditsioon,uurimiseks ja materjali kogumiseks mõeldud retk või reis,B2
eksperiment,teaduslik katse,B2
eksport,väljavedu välismaale,B2
eksportima,välismaale viima,B2
elama,olemas olema,A1
elamispind,elamiseks määratud ruum,B2
elamu,"ehitis, mis on mõeldud elamiseks ühele või enamale leibkonnale",B1
elamus,"kogetavates tajudes, muljetes või üleelatavates tundmustes väljenduv eriline psüühiline seisund",B2
elavdama,elavaks muutma,B2
elekter,elektromagnetvälja energia,A2
elektrooniline,"elektroonikal põhinev, elektroonika abil toimiv",B1
element,"aine, mida ei saa keemiliste menetlustega lihtsamaiks osadeks lahutada",B1
elementaarne,"algeline, väga lihtne",B2
elevile,ärevile või erutatuks,C1
elevus,"erksus, erutatud",C1
eliit,"kodanliku seltskonna mõjukam, varakam osa",B2
elitaarne,"vähesele, piiratud hulgale inimestele loodud, kättesaadav või mõistetav",B2
elu,mateeria liikumise eri vorm tema arengu teataval astmel,A1
eluaegne,kogu või veel elada jääva elu jooksul kestev,B2
elujõuline,"jõudu, elu täis, pakatav",B2
elukaaslane,"abikaasa, vabaabielunaine või -mees",B1
eluliselt,"reaalsena, nii nagu päriselt",B2
elund,"kindla asendi, kuju, ehituse ja ülesandega kehaosa",B2
ema,"mingil alal eeskuju andev, juhatav või hooldav naine",A1
emadepäev,maikuu teine pühapäev,B1
emotsioon,tugev tunne,B1
enam,sellest peale,A2
enam-vähem,pisut jääb vajaka,B1
enamik,suurem osa,B1
endamisi,vaikselt mõttes,B2
energeetiline,"energiat andev, energia saamiseks kasutatav",B2
energia,mateeria liikumise üldine mõõt,A2
energiaallikas,"vm loodusvara , millest saadakse energiat või mida kasutatakse soojuse ja sooja vee tootmiseks",B2
enesekindlus,"kindlus iseendas, oma võimetes ja jõus",B1
eneseteadvus,"iseenda olemuse mõistmine, teadlikkus oma osast elus ja ühiskonna",B2
enesetunne,inimese tervisest ja meeleolust sõltuv üldine kehaline ja vaimne seisund antud momendil,B1
enne,eelnenud lühema ajavahemiku jooksul,A1
enneaegne,"enne ootuspärast, normaalset, õiget aega toimuv või toimunud",B2
ennem,valikuvõimaluse korral midagi teistest eelistades,B2
ennetama,"kellestki või millestki enne jõudma, ette või mööda jõudma",B2
ennetähtaegne,"enne määratud, kokkulepitud tähtaega",B2
ennustama,"tuleviku kohta oletusi tegema, ette arvama",B1
episood,üksiksündmus mingist suuremast sündmuste seeriast,B2
erakordselt,millegi poolest erilisel või tähelepanuväärsel moel,B2
erakorraline,"õnnetuse, haigusjuhtumi korral vahetult, otsekohe abi andev",B1
eraldama,"osa või osi tervikust või hulgast eemaldama, lahku viima",B1
eraldi,iga asja teistest lahus vaatama,A2
eralduma,"ümbrusest eraldatav, eristatav olema",B2
eranditult,erandeid mitteomaval moel,B2
erapooletu,"mitte kumbagi poolt, mitte kedagi eelistav",B1
erastama,eraomandusse andma või müüma,B2
eratund,"ühele või mitmele õpilasele erateel korraldatava, harilikult tasuline tund",B1
eraõiguslik,"eraõiguse valdkonda kuuluv, sellega seotud, sellest lähtuv või sellele tuginev",B2
ere,toonilt puhas,B2
ergutama,"kedagi intensiivsemale või muu tegevusele keelitlema, veenma",B2
eriala,"teaduse, tehnika, kunsti või muu sellise kitsam, suhteliselt kindlamini piiritletud ala",A2
erinema,"mingis suhtes lahku minema, teistsugune olema, erisugune olema",B1
erinev,üldisest või normaalsest kõrvalekalduv,A1
eriolukord,"eriline, erakorraline olukord",B2
eritama,midagi endast välja eraldama,B2
ese,"igasugune konkreetne materiaalne asi, enamasti tarbeasi, tööriist või muu sellise",B1
esialgu,"mõneks ajaks, kuni asjaolude selgumiseni",B1
esietenduma,esimest korda etenduma,B2
esikoht,esimene koht milleski,B1
esile,nähtavale,B1
esimees,valitav juhataja,B1
esimene,"muudest või kõigest muust eespool, enne muid olev või olnud",A1
esindama,"kellegi või millegi nimel, eest või volitusel esinema või tegutsema",B1
esindus,"kellegi teise huvides toimiv koosseis, asutus või firma",B1
esinema,"esitama, millegagi avalikkuse ette tulema",A2
esinemine,"end kellegi osas, kellenagi käitumine",B1
esitama,"avaldama, väljendama, ette või esile tooma",B1
esiteks,ajaliselt esimeste tegevuste hulgas,B1
esitlus,esitlemine,B2
esmaabi,"haavatule, vigastatule või äkki haigestunule",B1
esmalt,järjekorras esimesena,B1
esmatähtis,"esmajärgulise tähtsusega, kõige tähtsam",B2
esteetiline,esteetikasse puutuv,B2
etapp,mitmepäevase või pika võistluse üks osa,A2
etendus,"meelelahutuslik etendus teatris, televisioonis, restoranis, kabarees jm",B1
etniline,teatava rahvaga või selle päritolu või kuuluvusega seoses olev,B2
ette,esiküljele külge,A1
etteheide,pettumus- ja kurbustundega süüdistamine või noomimine,B2
ettekandja,restorani meesettekandja,A2
ettekujutus,ikooniline vaimne esitus,B1
ettepanek,pakkumise tegemine,A2
ettevaatlikult,"ettevaatusega tehtuna, lausutuna",B1
ettevalmistus,"õppimise või harjutamisega omandatud teadmised, oskused, võimed",B1
ettevõte,ettevõetav või -võetud tegu,A2
ettevõtja,"ettevõtte omanik ja selle tegevuse organiseerija, kes kannab selle tegevusega seotud riski ning omandab ettevõtjatulu",B1
ettevõtlus,"majandustegevus, mille eesmärgiks on tulu saamine kauba tootmise ja teenuste osutamise teel",B2
eurooplane,Euroopa elanik või sealt pärinev isik,B1
evakueerima,kedagi või midagi ohupiirkonnast organiseeritult ära viima,B2
faas,osa ja kogupindala suhe,B2
faktiline,"tegelikkusele vastav, päriselt olemasolev",B2
fantaseerima,"fantaasia abil looma, olematut kujutlema",B2
farm,talund,B1
fassaad,"väline, esinduslik külg",B2
